Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
817,751,N,Utah,25,27,31,32,125,220.5,214,160,109.5
817,752,N,Denver,31,28,19,37,135,2,4,-180,0.5
817,753,N,Brooklyn,20,31,35,24,110,224,222.5,450,0.5
817,754,N,Toronto,37,36,22,39,134,10,10,-600,109
817,755,N,Philadelphia,26,23,30,22,101,220,217,230,110
817,756,N,Boston,25,30,20,34,109,5.5,6.5,-270,1.5
817,757,N,Dallas,38,31,13,28,110,231,230.5,285,115.5
817,758,N,LAClippers,34,32,21,31,118,6,7,-345,6.5
818,761,N,Orlando,33,29,30,30,122,224.5,225.5,900,114.5
818,762,N,Milwaukee,23,29,27,31,110,11,14,-1600,14.5
818,767,N,Portland,36,21,21,22,100,226.5,234,250,116
818,768,N,LALakers,25,31,19,18,93,4.5,6.5,-300,5.5
818,769,N,Miami,27,29,25,32,113,4,4.5,-185,1.5
818,770,N,Indiana,33,19,28,21,101,217.5,216,165,107
818,771,N,OklahomaCity,20,32,31,25,108,1.5,pk,-110,5.5
818,772,N,Houston,28,40,36,19,123,227,225,-110,10.5
819,701,N,Brooklyn,33,20,27,19,99,226.5,226,600,111.5
819,702,N,Toronto,29,21,24,30,104,11,11.5,-900,8.5
819,703,N,Utah,27,34,43,20,124,218.5,217,145,111.5
819,704,N,Denver,25,23,29,28,105,4,3.5,-165,5.5
819,705,N,Philadelphia,33,24,18,26,101,215,213.5,175,108
819,706,N,Boston,27,38,33,30,128,5,4.5,-200,1
819,707,N,Dallas,29,32,37,29,127,231,231.5,175,114
819,708,N,LAClippers,25,31,29,29,114,6,5,-200,6
820,711,N,Miami,22,29,37,21,109,5,4,-175,1
820,712,N,Indiana,24,22,31,23,100,215,217.5,155,106.5
820,713,N,OklahomaCity,30,29,19,20,98,227.5,227.5,115,111.5
820,714,N,Houston,35,18,24,34,111,2,2,-135,3
820,715,N,Orlando,13,30,30,23,96,228,228,800,115.5
820,716,N,Milwaukee,25,39,29,18,111,12,13.5,-1400,1
820,717,N,Portland,19,20,19,30,88,226.5,230,205,1.5
820,718,N,LALakers,27,29,32,23,111,4.5,6.5,-245,113.5
821,721,N,Toronto,24,33,27,33,117,9.5,11,-600,2
821,722,N,Brooklyn,17,25,26,24,92,223,219.5,450,107.5
821,723,N,Denver,14,28,20,25,87,1.5,217.5,100,4.5
821,724,N,Utah,25,34,35,30,124,220,1,-120,108
821,725,N,Boston,26,25,25,26,102,4.5,5.5,-240,4
821,726,N,Philadelphia,24,25,23,22,94,216,216.5,200,110
821,727,N,LAClippers,23,45,34,28,130,4,5,-210,114.5
821,728,N,Dallas,23,31,31,37,122,233,231,180,1
822,731,N,Milwaukee,31,39,29,22,121,12.5,12.5,-1100,NL
822,732,N,Orlando,23,20,34,30,107,226,225.5,700,NL
822,733,N,Indiana,27,29,34,25,115,214,213.5,180,2.5
822,734,N,Miami,34,40,20,30,124,4.5,5,-210,108.5
822,735,N,Houston,29,34,19,22,107,2,2,-130,pk
822,736,N,OklahomaCity,23,34,21,26,119,224,223,110,110.5
822,737,N,LALakers,25,28,40,23,116,pk,7.5,-350,7.5
822,738,N,Portland,29,28,29,22,108,225,225,290,11.5
823,741,N,Boston,27,30,32,21,110,7,7,-310,6
823,742,N,Philadelphia,32,26,19,29,106,213,215.5,260,109
823,743,N,LAClippers,34,32,19,36,133,pk,8,-340,3.5
823,744,N,Dallas,24,34,35,28,135,231.5,233,280,111
823,745,N,Toronto,39,38,39,34,150,12.5,14,-1400,5
823,746,N,Brooklyn,32,36,19,35,122,217,222.5,800,111
823,747,N,Denver,36,29,24,38,127,214,217,140,108.5
823,748,N,Utah,33,31,33,32,129,2,3.5,-160,3
824,701,N,Milwaukee,22,36,26,37,121,14,13,-1100,6
